name,slug,category,subcategory,description,mrp,price,sku,stock,image_urls
FIRESTORM,firestorm,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-211,20,
FLAPJACK,flapjack,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-212,20,
GOLDEN BARREL CACTUS,golden-barrel-cactus,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-213,20,
GOLDEN LACE CACTUS,golden-lace-cactus,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-214,20,
IRISH ROSE,irish-rose,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-215,20,
LADY FINGER CACTUS,lady-finger-cactus,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-216,20,
MEXICAN GEM,mexican-gem,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-217,20,
MOON CACTUS,moon-cactus,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-218,20,
PANDA PLANT,panda-plant,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-219,20,
PERUVIAN APPLE CACTUS,peruvian-apple-cactus,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-220,20,
RAT TAIL CACTUS,rat-tail-cactus,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-221,20,
ROCK JEWEL,rock-jewel,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-222,20,
SAN PEDRO CACTUS,san-pedro-cactus,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-223,20,
STAR CACTUS,star-cactus,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-224,20,
TIGER TOOTH,tiger-tooth,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-225,20,

CHIKU PLANT,chiku-plant,Fruit-Bearing Plants,,Fruit-bearing plant,249900,199900,FRU-200,10,
CITRUS LEMON,citrus-lemon,Fruit-Bearing Plants,,Fruit-bearing plant,249900,199900,FRU-201,10,
CUSTARD APPLE,custard-apple,Fruit-Bearing Plants,,Fruit-bearing plant,249900,199900,FRU-202,10,
DRAGON FRUIT PLANT,dragon-fruit-plant,Fruit-Bearing Plants,,Fruit-bearing plant,249900,199900,FRU-203,10,
DWARF BANANA PLANT,dwarf-banana-plant,Fruit-Bearing Plants,,Fruit-bearing plant,249900,199900,FRU-204,10,
DWARF PAPAYA PLANT,dwarf-papaya-plant,Fruit-Bearing Plants,,Fruit-bearing plant,249900,199900,FRU-205,10,
FIG PLANT,fig-plant,Fruit-Bearing Plants,,Fruit-bearing plant,249900,199900,FRU-206,10,
